20190101,1,-10
20190102,1,-9
20190103,2,-7
20190104,2,-7
20190105,0,-8
20190106,3,-7
20190107,2,-7
20190108,1,-10
20190109,2,-9
20190110,4,-7
20190111,5,-6
20190112,5,-5
20190113,6,-7
20190114,6,-8
20190115,-2,-10
20190116,2,-8
20190117,5,-7
20190118,6,-6
20190119,4,-5
20190120,5,-7
20190121,9,-4
20190122,10,-3
20190123,10,-4
20190124,5,-5
20190125,5,-6
20190126,5,-5
20190127,7,-5
20190128,6,-4
20190129,6,-4
20190130,3,-7
20190131,2,-8
20190201,6,-5
20190202,3,-3
20190203,7,-7
20190204,4,-6
20190205,1,-5
20190206,0,-7
20190207,-3,-10
20190208,-1,-7
20190209,0,-8
20190210,-1,-8
20190211,3,-6
20190212,-3,-7
20190213,1,-6
20190214,-3,-6
20190215,2,-7
20190216,3,-6
20190217,6,-4
20190218,4,-3
20190219,7,-4
20190220,9,-4
20190221,11,-3
20190222,10,-2
20190223,12,-2
20190224,13,-1
20190225,11,-2
20190226,10,-2
20190227,12,-2
20190228,14,-1
20190301,15,1
20190302,15,3
20190303,14,1
20190304,16,2
20190305,17,4
20190306,11,-2
20190307,13,-1
20190308,14,3
20190309,12,2
20190310,13,2
20190311,16,1
20190312,12,1
20190313,16,2
20190314,16,4
20190315,14,0
20190316,19,2
20190317,20,4
20190318,21,6
20190319,25,12
20190320,20,6
20190321,13,0
20190322,15,3
20190323,12,2
20190324,19,4
20190325,22,5
20190326,19,4
20190327,21,4
20190328,11,2
20190329,13,4
20190330,12,0
20190331,16,2
20190401,16,4
20190402,19,3
20190403,21,8
20190404,28,9
20190405,21,8
20190406,19,6
20190407,19,7
20190408,17,5
20190409,9,3
20190410,18,9
20190411,19,6
20190412,22,9
20190413,23,7
20190414,23,8
20190415,26,12
20190416,26,13
20190417,28,16
20190418,23,10
20190419,20,10
20190420,15,8
20190421,22,8
20190422,26,14
20190423,27,15
20190424,19,9
20190425,18,8
20190426,20,10
20190427,15,6
20190428,18,9
20190429,23,13
20190430,24,12
20190501,28,10
20190502,29,14
20190503,28,16
20190504,28,16
20190505,23,10
20190506,25,10
20190507,28,14
